t
a
g
s
c
o
r
r
e
c
t
"('The', 'AT')","('The', 'AT')"
"('Fulton', 'NP-TL')","('Fulton', 'NP-TL')"
"('County', 'NN-TL')","('County', 'NN-TL')"
"('Grand', 'JJ-TL')","('Grand', 'JJ-TL')"
"('Jury', 'NN-TL')","('Jury', 'NN-TL')"
"('said', 'VBD')","('said', 'VBD')"
"('Friday', 'NR')","('Friday', 'NR')"
"('an', 'AT')","('an', 'AT')"
"('investigation', 'NN')","('investigation', 'NN')"
"('of', 'IN')","('of', 'IN')"
"(""Atlanta's"", 'NP$')","(""Atlanta's"", 'NP$')"
"('recent', 'JJ')","('recent', 'JJ')"
"('primary', 'NN')","('primary', 'NN')"
"('election', 'NN')","('election', 'NN')"
"('produced', 'VBD')","('produced', 'VBD')"
"('``', '``')","('``', '``')"
"('no', 'AT')","('no', 'AT')"
"('evidence', 'NN')","('evidence', 'NN')"
"(""''"", ""''"")","(""''"", ""''"")"
"('that', 'CS')","('that', 'CS')"
"('any', 'DTI')","('any', 'DTI')"
"('irregularities', 'NNS')","('irregularities', 'NNS')"
"('took', 'VBD')","('took', 'VBD')"
"('place', 'NN')","('place', 'NN')"
"('.', '.')","('.', '.')"
"('The', 'AT')","('The', 'AT')"
"('jury', 'NN')","('jury', 'NN')"
"('further', 'JJR')","('further', 'RBR')"
"('said', 'VBD')","('said', 'VBD')"
"('in', 'IN')","('in', 'IN')"
"('term-end', None)","('term-end', 'NN')"
"('presentments', None)","('presentments', 'NNS')"
"('that', 'CS')","('that', 'CS')"
"('the', 'AT')","('the', 'AT')"
"('City', 'NN-TL')","('City', 'NN-TL')"
"('Executive', 'NN-TL')","('Executive', 'JJ-TL')"
"('Committee', 'NN-TL')","('Committee', 'NN-TL')"
"(',', ',')","(',', ',')"
"('which', 'WDT')","('which', 'WDT')"
"('had', 'HVD')","('had', 'HVD')"
"('over-all', 'JJ')","('over-all', 'JJ')"
"('charge', 'NN')","('charge', 'NN')"
"('of', 'IN')","('of', 'IN')"
"('the', 'AT')","('the', 'AT')"
"('election', 'NN')","('election', 'NN')"
"(',', ',')","(',', ',')"
"('``', '``')","('``', '``')"
"('deserves', 'VBZ')","('deserves', 'VBZ')"
"('the', 'AT')","('the', 'AT')"
"('praise', 'NN')","('praise', 'NN')"
"('and', 'CC')","('and', 'CC')"
"('thanks', 'NNS')","('thanks', 'NNS')"
"('of', 'IN')","('of', 'IN')"
"('the', 'AT')","('the', 'AT')"
"('City', 'NN-TL')","('City', 'NN-TL')"
"('of', 'IN')","('of', 'IN-TL')"
"('Atlanta', 'NP')","('Atlanta', 'NP-TL')"
"(""''"", ""''"")","(""''"", ""''"")"
"('for', 'IN')","('for', 'IN')"
"('the', 'AT')","('the', 'AT')"
"('manner', 'NN')","('manner', 'NN')"
"('in', 'IN')","('in', 'IN')"
"('which', 'WDT')","('which', 'WDT')"
"('the', 'AT')","('the', 'AT')"
"('election', 'NN')","('election', 'NN')"
"('was', 'BEDZ')","('was', 'BEDZ')"
"('conducted', 'VBN')","('conducted', 'VBN')"
"('.', '.')","('.', '.')"
"('The', 'AT')","('The', 'AT')"
"('September-October', None)","('September-October', 'NP')"
"('term', 'NN')","('term', 'NN')"
